County,Offense,Offense Description,Offense Date
Tarrant,Drug,DEL OF C/S<1G; COCAINE,4/23/2019
Tarrant,Other,UNL POSS FIREARM,6/3/2018
Hidalgo,Other,DWI W/CHILD UND 15 YOA,7/27/2019
Potter,Violent,ASLT FAM/HSHLD MEM PRE CON,12/26/2018
Jefferson,Property,FEL THEFT,7/5/2018
Jefferson,Drug,POSS CS COCAINE,11/30/2017
Wichita,Property,"THFT PROP <$2,500 2/+ PREV CONV",2/25/2019
Gregg,Other,DRIVING WITH INTOX 3RD OR MORE.,5/5/2017
Johnson,Other,TAMPER/FABRICATE PHYS EVID W/INT,2/24/2018
Collin,Other,DWI,8/10/2017
Bexar,Drug,POSS CS PG 1 LESS THAN 1 GRAM,9/11/2019
Hidalgo,Drug,POCS PG1 <1G,12/27/2017
Wilbarger,Drug,POSS CONT SUB,10/7/2017
Bowie,Drug,PCS PG1<1G,10/26/2018
Williamson,Other,DWI,4/18/2017
Bexar,Drug,POSS CS PG 1 <1G,9/9/2017
Tarrant,Drug,POSS C/S<1G; METH,9/7/2019
Harris,Drug,POSS CONT SUBS PG1 200-400G,4/14/2017
Cameron,Property,BURG VEH W/PREV 2 MOR CONV,2/23/2018
Harris,Violent,AGG ASLT DW,4/25/2018
Harris,Other,EVAD ARREST/DETEN W/PREV CONV,12/10/2018
Harris,Other,DWI 3RD,7/29/2017
Tarrant,Property,FRAUD USE POSS ID INFO L/5 ELDER,6/15/2018
Tarrant,Drug,POSS WID CS 4-200G METH,7/19/2017
Bexar,Drug,POSS WID CONT SUB PG1 1-4G,5/26/2019
Harris,Drug,MAN/DEL CONT SUBS PG1 200-400G,3/21/2017
Tarrant,Property,TAMP W/GOV SCHOOL REC LIC/SEAL,3/15/2018
El Paso,Other,DWI,2/12/2018
Tarrant,Property,THEFT<$2500 2 M PREV CONV,6/4/2019
Rockwall,Drug,POSS C/S PG1<1G,7/5/2019
Randall,Violent,AGG ASLT W/DWPN,9/11/2017
Tarrant,Property,DEBIT CARD ABUSE,6/4/2019
Dawson,Other,UNLAW POSS FIREARM,2/2/2018
Tarrant,Property,CRIMINAL MISCHIEF $30K-$150K,10/4/2017
Morris,Property,BURG HABIT,7/6/2017
Tarrant,Violent,ASLT FAM/HSE MEM IMP BRTH/CIRC,7/26/2017
Fort Bend,Property,UUV,12/17/2017
Travis,Violent,ASLT FAM/HSE MEM PREV CONV,3/25/2019
Harris,Drug,POSS COCAINE WID CS PG1 1-4G,10/29/2018
Tarrant,Property,FORGERY GOVT NATL INST MONEY SEC,3/15/2018
Upshur,Property,FRAUD USE/POSS OF INDENT INFO,1/23/2018
Bexar,Property,"THEFT UNDER $2,500 ENHANCED",12/18/2018
El Paso,Violent,AGG ASLT W/DEADLY WPN,7/29/2017
Uvalde,Drug,POSS CONT SUB PG1 1-4G,5/10/2017
Dallas,Drug,MAN DEL CS PG 2 OR 2-A>=1G<4G,4/14/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR,10/19/2018
McLennan,Drug,POSS C/S; METH,11/7/2018
Dallas,Property,THEFT<2500 W/2 PREV CONV,6/5/2019
Lamar,Drug,PCS PG1<1G,5/1/2018
Harris,Other,DWI THIRD,7/24/2018
Bexar,Property,FRAUD USE/POSS ID INFO < 5 ITEMS,3/12/2019
Dawson,Drug,POSS CS PG1,3/31/2019
Wise,Other,DWI,3/26/2018
Hopkins,Property,THEFT PROP 30K-150K,6/21/2017
Dallas,Property,THEFT 2500 W/2 PREV CONV,10/6/2017
Kimble,Drug,MAN DEL CONT SUBS PG1 4-200G,3/26/2017
Atascosa,Property,THEFT $2500-$30K,3/30/2018
Atascosa,Drug,POSS CONT SUB PG1 4-200G,8/8/2017
Potter,Drug,POSS C/S PG1 U/1G,8/1/2017
Van Zandt,Other,DWI,3/9/2017
Smith,Drug,POSS C/S PG1<1G,8/31/2018
Orange,Property,FRAUD POSS IDENT INFO,1/20/2017
Terry,Drug,MAN DEL CS PG1>=4G<200G - ENH,5/5/2017
Freestone,Drug,MAN DEL CONT SUBS PG1 1-4G,11/1/2017
Smith,Drug,POSS CONT SUB PG1 1G,6/19/2018
Brazos,Property,THEFT PROP <$2500 2/M PREV CONVS,5/27/2019
Cameron,Drug,POSS CONT SUBS 4-200G,3/20/2019
Jefferson,Drug,DEL CONT SUB,11/8/2017
Bowie,Other,EVAD ARR W/PRIOR CONV,1/2/2019
Angelina,Other,EVADING ARREST VEH/WATERCRFT,1/5/2018
Harris,Property,UUV,4/9/2019
McLennan,Property,THEFT FROM PERSON,4/18/2019
Jefferson,Other,EVADE ARREST/DET W/VEH,6/9/2017
Denton,Property,FORG,6/14/2019
Harris,Drug,POSS CONT SUB PG1 4-200G,7/23/2018
Smith,Property,THEFT PROP $2500 2/MORE PREV CON,6/13/2017
Tarrant,Drug,POSS CS 4-200G METH,7/2/2018
Tarrant,Drug,POSS CS 4-200G OXYCODONE,7/28/2017
Montgomery,Drug,POSS OF CONT SUBS,11/13/2019
McLennan,Property,THEFT OF $30K LESS $150K,7/29/2017
El Paso,Violent,ASLT PEACE OFFICER/JUDGE,2/2/2018
Ellis,Drug,POSS CONT SUB,4/2/2017
Montgomery,Drug,POSS CONT SUBS,8/7/2018
Hill,Other,FAIL TO COMPLY SEX OFF REG,6/5/2017
Tarrant,Violent,ASLT FAM/HSEHLD MEM W/PREV CONV,6/5/2017
Midland,Drug,POSS CS PG1 L1G DFZ,9/12/2018
Smith,Other,DWI,10/12/2017
Brazoria,Property,FRAUD USE OF ID INFO,12/10/2018
Tarrant,Drug,POSS C/S LT 1GRAM NAMELY:METH,3/11/2019
Harris,Drug,POSS CONT SUB PG1 1-4G,2/16/2019
Rockwall,Property,FRAUD USE/POSS ID INFO ITMS 5-10,1/8/2018
Shelby,Violent,ASLT PUBLIC SERVANT,3/8/2019
Henderson,Drug,POSS OF CONT/SUB,10/4/2017
Tarrant,Other,EVADING ARREST/DET W/VEH,5/11/2019
Van Zandt,Drug,POSS CONT SUB PG1 1-4G,12/27/2017
Dallas,Property,FRAUD USE POSS ID INFO 10-50,12/12/2017
Tarrant,Violent,ASLT FAM/HOU MEM IMP BRTH/CIR,7/3/2018
Travis,Property,FORG FINANCIAL INSTRUMENT,2/19/2019
Dallas,Other,TAMP/FAB PHYS EVID W/INTENT TO I,10/9/2018
Terry,Other,PROH SUBSTANCE/ITEM IN CORR/CIV,5/9/2017
Harris,Drug,POSS CONT SUB 4-200G,1/30/2019
Dallas,Property,THEFT PROP 2500-30K,11/8/2017
Washington,Property,FORGERY FINAN INSTR ELD,7/26/2017
Harris,Property,THEFT>=2500<30K,5/16/2019
Montgomery,Other,DWI,3/17/2019
Dallas,Drug,POSS CONT SUB COCAINE,8/7/2017
Denton,Other,EVADE ARREST,11/25/2017
Bexar,Property,UNAUTH USE VEH,7/3/2018
Hidalgo,Drug,POSS C/S PG1 <1G,4/29/2019
Bastrop,Property,FORGERY FINANCIAL INST,6/1/2018
Palo Pinto,Property,CREDIT/DEBIT CARD ABUSE ELD,8/17/2017
Howard,Drug,POSS OF CONT SUB,4/9/2018
Harris,Drug,POSS CONT SUB 4-200G,10/11/2018
Ector,Other,DWI,9/17/2017
Howard,Drug,POSS C/S,12/12/2018
Harris,Property,THEFT FROM PERSON/ELDER,2/7/2018
Harris,Property,UUV,5/2/2019
Hidalgo,Violent,AGG ASSAULT W/DEADLY WEAPON,11/24/2018
Comal,Drug,POSS CS PG1 L/1G,1/29/2017
Comal,Other,UNLAWFUL POSS OF FIREARM,2/12/2017
El Paso,Property,FORGERY FIN INSTR,6/7/2018
Harris,Property,UUMV,12/16/2018
Travis,Other,VIOL BOND/PROT ORDER 2+ PREV,1/13/2019
Hidalgo,Drug,POSS CONT SUB PG1 4-200G,1/29/2019
Harris,Drug,POSS CS METH 4-200G,9/27/2018
Potter,Other,EVAD ARREST/DET W/PREV CONVIC,9/20/2017
Lee,Violent,ASLT FAM/HSEHLD MEM W/PREV CONV,11/16/2017
Fort Bend,Other,DWI,3/10/2018
Gaines,Violent,ASSLT-FAM VIOL W/PRIOR CONV,8/28/2017
Jefferson,Violent,ASLT PUB SERV,3/4/2017
San Jacinto,Drug,POSS CS PG 1 <1G,12/29/2017
Galveston,Drug,POSS CONT SUBS PG1 1-4G,2/9/2018
Fannin,Drug,POSS CS PG1 L1G,5/22/2019
Williamson,Drug,POSS CONT SUB 1-4G,8/29/2017
Dallas,Violent,ASLT FV IMP BRTH/CIRC,8/6/2018
Bexar,Drug,POSS CS PG 1 >=4G<200G,6/1/2017
Bell,Violent,AGG ASLT BI W/DWPN,3/27/2018
Bexar,Violent,ASLT FAMILY-2ND OFF,3/11/2017
Harris,Property,THEFT<2500 2/MORE PREV CONV,3/26/2017
Bexar,Drug,POSS CONT SUB L/1G DFZ,8/25/2017
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR,11/23/2017
Bexar,Other,PROSTITUTION 3/MORE PRIOR,6/11/2018
Bexar,Property,FRAUD USE/POSS ID INFO 5-9 ITM,10/19/2017
Lubbock,Drug,POSS CS METH PG1 1-4G,8/18/2017
Dallas,Drug,UNLAWFUL POSS C/S<OR=1G,10/1/2019
Bexar,Property,BURGLARY BUILDING-INTENT THEFT,3/28/2017
Bexar,Other,DWI,5/3/2017
Tarrant,Drug,POSS OF CONT SUB 4-200G METH,5/27/2017
Medina,Other,ENGAGING IN ORG CRIM ACT,9/13/2017
McLennan,Drug,POSS C/S: METH,10/3/2017
Bexar,Violent,INDEC CHILD-EXP,6/28/2017
Bexar,Other,FELON POSS F/ARM,1/25/2017
Bexar,Property,"THEFT UND 2,500 ENH",4/16/2019
Galveston,Other,EVADING ARREST DETN W/PREV CONV,12/22/2018
Tom Green,Other,EVADING ARREST DET W/VEH,12/12/2018
Tarrant,Other,FAIL COMPLY SEX OFFENDER REG REQ,12/12/2018
Harris,Drug,POSS CS PG1<1G,11/5/2019
Tarrant,Violent,AGG ASLT W/DDLY WPN,6/26/2017
Galveston,Other,DWI,8/26/2017
Harris,Drug,POSS WID MAN/DEL-METH 4-200G,2/8/2017
Jefferson,Other,EVADING ARR/DETN W/VEH,2/12/2018
Bexar,Property,BURG VEH,7/17/2018
Montgomery,Other,DWI SUBSEQUENT OFF,7/19/2018
Harrison,Property,UUMV,9/7/2019
Tarrant,Drug,"POSS CS LT 1G, NAMELY METHAMPHET",5/5/2019
Tarrant,Property,BURGLARY OF A BUILDING,4/4/2019
Victoria,Other,EVADING ARREST DETN W/VEH,8/20/2019
Johnson,Other,TAMPER/FABRICATE PHYS EVID W/INT,6/10/2018
Hidalgo,Drug,POSS C/S PG1 <1G,3/6/2019
Wichita,Drug,"POSS CS <1G, METH",2/12/2019
Milam,Drug,POSS CONT SUB 4-200G,10/28/2017
Harris,Property,THEFT $25K 2/M PREV CONV,10/22/2018
Milam,Drug,POSS CONT SUB 4-200G,8/28/2017
El Paso,Other,DWI 3RD OR MORE,9/13/2018
Travis,Violent,ASLT FAM/HH MEM,3/29/2017
Dallas,Property,THEFT <$2500 W/2 PREV CONV,4/18/2019
Orange,Other,DWI,1/14/2018
Jefferson,Other,TAMP W/PHYS EVID,6/24/2017
Hunt,Other,SEX OFFENDER DUTY REG LIFE/ANN,4/7/2017
Jefferson,Drug,POSS CS,7/31/2017
Harris,Drug,MAN DEL CONT SUBS 4-200G,1/30/2018
Harris,Other,FELON POSS WPN,4/19/2017
Tarrant,Other,EVADE ARREST DET W/VEH,11/20/2017
Dallas,Other,UNLAWFUL POSS F/ARM BY FELON,10/27/2017
Tarrant,Other,UNLAW POSS FIREARM,10/6/2017
Milam,Other,UNL POSS FIREARM FELON,11/25/2017
Cameron,Other,DWI,4/21/2017
Collin,Violent,POSS OF CHILD PORN,10/12/2017
Wichita,Property,FORGERY,12/4/2017
Jefferson,Other,EVAD ARREST/DETN W/PREV CONVS,11/11/2017
Tarrant,Property,BURG/VEH WITH PREV 2OR MORE CONV,7/23/2019
Waller,Other,EVAD ARREST/DETENT W/VEH,9/5/2017
Red River,Property,BURG HABIT,2/1/2017
Lubbock,Property,BURG HABIT,12/22/2017
Rockwall,Drug,POSS C/S PG1<1G,8/8/2018
Dallas,Drug,UNLAWFUL POSS C/S; METH,5/22/2018
Liberty,Drug,POSS CS W/INTENT DELIVER,12/28/2017
Brown,Drug,MAN DEL CS PG2/2-A<1G DFZ IAT,3/23/2018
Wichita,Drug,POSS CS METH 1-4G,6/1/2017
Brazos,Drug,POSS CS L/ 1G,1/31/2019
Harris,Property,FRAUD/USE/POSS ID INFO<5 ITEMS,10/30/2019
Henderson,Drug,POSS OF CONT SUB,6/17/2017
Dallas,Violent,AGG ASSAULT W/DEADLY WEAPON,3/26/2019
Dallas,Property,BURGLARY OF A BUILDING,8/1/2019
Tarrant,Drug,POSS C/S<1G; METH,12/15/2018
El Paso,Property,THEFT PROP L/$2500 W/PRIORS,8/7/2018
Colorado,Other,TAMPER/FABRICATE PHYS EVID W/INT,5/20/2017
Bexar,Drug,POSS CONT SUB PG1 1-4G,6/4/2018
Nueces,Drug,POSS C/S PG1<1G,9/6/2019
Tarrant,Drug,POSS CS 4-200G METH,6/19/2017
Tarrant,Other,DDLY CONDUCT-DSCH F/ARM INDIV,1/9/2018
Lubbock,Violent,ASLT DOMESTIC,10/22/2017
Harris,Property,UNAUTH USE OF VEHICLE,10/18/2017
Brown,Drug,DEL CONT SUB,5/9/2017
Nueces,Violent,CONT VIOL AGAINST THE FAMILY,10/2/2017
Wheeler,Property,UNAUTH USE OF VEHICLE,7/23/2019
Potter,Violent,ASLT FAM/HS MEM IMP BRTH/CIRC,7/5/2018
Collin,Drug,POSS CONT SUB PG1 L/1G,5/28/2019
Cameron,Other,DWI 3/M PRIORS,11/18/2017
Harris,Other,DWI,1/26/2019
Hunt,Property,THEFT PROP>=2500<30K,5/26/2018
Harris,Other,DWI,2/18/2017
Nacogdoches,Drug,POSS C/S,5/2/2017
Denton,Property,FRAUD USE POSS ID INFO,3/6/2019
Camp,Drug,POSS CS L1G-METH,12/7/2019
Hidalgo,Violent,AGG ASLT W/DDLY WPN,12/16/2018
Hill,Other,DRIVING WHILE INTOXICATED 3RD OR,6/26/2018
Kerr,Drug,"POSS CS PG1 LT 1G,TO-WIT:METH",4/2/2018
Jefferson,Property,BURG HABIT,5/18/2017
Harris,Violent,AGG ASLT W/DEADLY WPN,12/10/2017
Dallas,Other,UNL POSS FIREARM BY FELON,2/2/2018
Harris,Drug,MAN/DEL CS PG1<1G,5/29/2019
Parker,Drug,POSS CONT SUB METH L/1G,7/13/2018
Cameron,Drug,POSS CONT SUBS 4-400G,6/9/2018
Montgomery,Drug,POSS CS,3/24/2019
Collin,Violent,STALKING,9/26/2017
Deaf Smith,Other,ESCAPE,7/28/2017
Travis,Property,FORGERY FINANCIAL INSTRUMENT,12/22/2017
Hale,Other,SEX OFFEND DUTY TO REG 10 YRS,7/23/2017
Orange,Drug,POSS CONT SUB,11/23/2017
Orange,Drug,POSS C/S,11/23/2017
Gregg,Other,DWI W/CHILD UNDER 15YOA,4/16/2019
Montgomery,Property,THEFT,10/17/2019
Travis,Drug,MAN/DEL CS 4-200G METH,9/14/2017
Harris,Drug,POSS CS PG1<1G METH,1/6/2020
Harris,Violent,ASLT FAM HSEHLD MEM W/PREV CONV,4/16/2018
Ellis,Other,TAMP W/PHYS EVIDENCE,10/6/2017
Ector,Drug,POSS CONT SUB 1-4G,3/27/2018
El Paso,Other,ENGAGE ORG CRIM ACT,5/1/2017
Harris,Property,THEFT<2500 2/MORE PREV CONV,8/13/2019
Williamson,Violent,ASLT FAM/HSEHLD MEM W/PREV CONV,9/20/2018
Terry,Drug,POSS CONT SUBS PG1 L/1G,8/13/2017
Bexar,Other,PROSTITUTION 3 OR MORE PRIORS,10/4/2018
Matagorda,Drug,ATT TO COMMIT POSS CS,8/23/2019
Atascosa,Drug,POSS CS:HEROIN,3/17/2017
Montgomery,Violent,ASLT FAMILY STRANGULATION,7/16/2018
Panola,Violent,ASLT PUBLIC SERVANT,11/25/2017
Harris,Property,TAMP GOVT REC HARM,11/10/2018
Van Zandt,Other,UNL POSS FIREARM BY FELON,1/31/2017
Dallas,Property,UNAUTH USE OF VEHICLE,3/11/2018
Hays,Other,DWI,8/2/2018
Ellis,Other,EVADING ARREST W/PREV CONV,3/21/2018
Smith,Property,THEFT PROP>=2500<30K,9/9/2019
Harris,Drug,POSS CS PG1<1G,12/4/2019
Bowie,Other,UNL POSS FIREARM BY FELON,12/31/2018
Bexar,Drug,POSS CONT SUB PG1 200-400G,9/16/2017
Swisher,Property,BURG OF BLDG,4/24/2018
Cameron,Property,"THEFT PROP<$2,500 2/MOR PRE CONV",4/15/2018
Dallas,Property,UNAUTHORIZED USE OF VEHICLE,4/24/2018
McLennan,Property,THEFT L/$2500 W/PRIORS,7/14/2017
Ellis,Other,EVADING ARREST W/VEH,1/1/2017
Ector,Violent,ASLT IMP BREATH,1/13/2019
Lampasas,Drug,POSS C/S,10/19/2018
Smith,Drug,POSS C/S PG1<1G,6/19/2017
Cameron,Drug,"POSS MARIJ 50-2,000LBS",3/20/2018
McLennan,Drug,POSS C/S; METH,6/24/2019
Comanche,Drug,POSS CS PG1 <1G,2/25/2019
Harris,Other,EVADING ARREST DET W/VEHICLE,7/6/2018
Montgomery,Drug,POSS CS,5/26/2019
Tarrant,Other,EVADING ARREST DET W/VEH,11/26/2017
Galveston,Drug,POSS CS PG1 4-200G METH,4/16/2018
Williamson,Drug,POSS CS PG1 L/1G,5/21/2019
Hidalgo,Other,DWI,6/5/2018
Reeves,Other,EVADING ARREST DET W/VEH,7/19/2017
Bexar,Violent,AGG ASLT W/DWPN,5/19/2017
McLennan,Property,THEFT L/$2500 W/2 OR MORE PRIORS,1/8/2019
Navarro,Drug,POSS C/S PG1<1G,6/24/2018
El Paso,Property,THEFT PROP L/$2500 2/M PREV CONV,6/3/2017
Harris,Drug,POSS METH 4-200G,11/26/2018
Fort Bend,Violent,AGG ASLT W/DW,7/4/2017
Potter,Property,THEFT PROP <$2500 W/PREV CONV,8/25/2018
Harrison,Other,DRIVING WHILE INTOXICATED 3RD OR,7/14/2018
Hidalgo,Drug,"POSS CS PG1,LESSER INCL OFFENSE",8/26/2019
Montgomery,Drug,POSS CS,8/17/2019
Grayson,Other,BAIL JUMP/FAIL TO APPEAR,5/30/2019
Tarrant,Drug,"POSS CS LT 1G,NAMELY:METH",8/9/2018
Angelina,Drug,POSS CONT SUB PG1 1-4G,10/25/2017
Tarrant,Drug,POSS CS L/1G METH,9/17/2017
Montgomery,Drug,POSS OF CONT SUB,5/1/2018
Harris,Other,ATT EVADING ARREST/DETN W/VEH,7/26/2019
Midland,Other,EVADE ARREST W/MOTOR VEH,2/15/2019
Dallas,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BRE,5/14/2018
Jefferson,Property,FEL THEFT PRIOR THEFT CONVS,9/10/2018
Ellis,Property,BURG BLDG,1/31/2017
Hidalgo,Drug,POSS CS PG1<1G,7/27/2019
Johnson,Other,DRIVING WHILE INTOXICATED W/CHIL,6/3/2018
Coryell,Other,BAIL JUMPING/FAIL TO APPEAR,3/5/2018
Collin,Other,TAMP W/GOVERN  REC DEF,3/13/2019
Tarrant,Property,THEFT PROP>=2500<30K,6/17/2019
Galveston,Violent,AGG ASLT DW,8/21/2017
Hill,Violent,ASLT FAM/HSE MEM IMP BRTH/CIRC,7/13/2017
Limestone,Other,EVADING ARR W/PREV CONV,3/18/2019
McLennan,Other,EVADING ARREST DETN W/PRIOR,7/9/2017
Lubbock,Property,THEFT $2500,2/22/2019
Harris,Other,FELON POSS WPN,12/27/2017
Grayson,Property,THEFT PROP<2500-2/MORE PREV CONV,10/13/2018
Montgomery,Drug,POSS CS,12/27/2018
Harris,Drug,POSS CONT SUB 1-4G,10/11/2018
Jefferson,Drug,POSS CONT SUB,6/23/2018
Harrison,Drug,POSS CONT SUB 4-200G,10/24/2017
Gregg,Drug,POSS C/S PG1<1G,10/11/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR,8/7/2017
Tarrant,Violent,ASLT FAM/HOU MEM IMP BRTH/CIRC,3/28/2017
Tom Green,Other,DWI,9/24/2017
Eastland,Other,DRIVING WHILE INTOXICATED 3RD OR,1/15/2020
Harris,Property,THEFT FROM PERSON,11/17/2019
Harris,Other,PROSTITUTION W/3 OR MORE PRIORS,6/8/2019
Tarrant,Other,DWI,3/23/2019
Tarrant,Other,DWI REPETITION,6/14/2017
Polk,Drug,POSS C/S,4/15/2019
Smith,Drug,POSS CS PG1<1G,4/8/2018
Dallas,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER,10/4/2017
Hidalgo,Other,DWI,6/29/2019
Montgomery,Drug,POSS CS,8/3/2019
Tarrant,Property,THEFT<2500-2/MORE PREV CONV,4/10/2019
Harris,Drug,POSS METH 4-400G,11/6/2017
Bell,Drug,POSS CS W/INTENT/DELIV L/1G,2/18/2019
Harris,Other,PROSTITUTION NONPUB PAY FEE U/18,9/18/2017
Hale,Drug,POSS C/S PG1 U/1G,8/2/2017
Kleberg,Drug,MAN DEL CONT SUB 1-4G,2/3/2018
Galveston,Violent,CONT VIOL AGAINST THE FAMILY,6/5/2019
Dallas,Other,EVADE ARREST DETN,9/26/2018
Harris,Other,ATT EVAD ARREST/DETEN W/VEH,12/8/2018
Hidalgo,Other,TAMPER W/GOV REC,7/26/2019
Bexar,Drug,POSS CS PG1<1G,1/26/2019
Bexar,Property,BURG HABIT FORCE,4/28/2017
Bexar,Property,FRAUD USE/POSS ID INFO 10-49 I,4/4/2018
Bexar,Drug,POSS C/S PG1<1G,6/26/2019
Bexar,Other,DWI-3D/M,11/17/2018
Taylor,Property,THEFT OF MATERIAL,3/5/2018
Harris,Violent,ASLT FAM/HSE MEM IMP BRTH/CIRC,7/23/2017
Tom Green,Property,CREDIT CARD ABUSE,9/14/2018
Dallas,Drug,UNLAWFUL POSS C/S; COCAINE,3/1/2019
Nacogdoches,Drug,POSS C/S,3/30/2018
Menard,Violent,AGG ASLT SBI,2/4/2017
Wood,Violent,ASLT BI HSEHLD MEM IMP BRTH,1/19/2018
Hays,Drug,POSS CS INTENT/DELIV ALPRAZOLAM,3/14/2019
Nolan,Other,TAMP FAB PHYS EVID INT IMPAIR,7/4/2018
Potter,Drug,MAN DEL CONT SUBS PG1 1-4G,11/20/2018
Hays,Other,DWI SUBSEQUENT OFF,9/17/2017
Bexar,Drug,POSS CONT SUB PG1 4-200G,1/3/2017
Montgomery,Drug,POSS CONT SUB,8/23/2019
Harris,Other,EVAD ARREST/DETEN W/PREV CONV,8/6/2019
Bexar,Other,ENDANGERING CHILD,11/23/2018
Bexar,Other,PROSTITUTION 3 OR MORE,9/21/2017
Bexar,Property,"THEFT $2,500 TO <$30,000 VEHI",9/11/2018
Bexar,Violent,INJURY TO ELDERLY BI,11/7/2018
Bexar,Drug,POSS CS PG 1<1G,9/4/2019
Bexar,Other,EVADE ARREST/DET-2ND OR,5/17/2019
Bexar,Other,EVADE ARR/DETENTION-2ND OR,3/14/2019
Bexar,Drug,POSS CS PG 1 < 1G,10/5/2018
Harris,Property,THEFT<2500 2/MORE PREV CONV,10/21/2019
Travis,Drug,MAN DEL CS PG2-A 1-4G INDAZOLE,6/30/2017
Bexar,Property,FORGE COUNTERFEIT MONEY,11/6/2017
Polk,Property,THEFT PROP W/2 MORE PREV CONV,2/28/2017
Colorado,Violent,ASLT FAM/HS MEM IMP BRTH/CIRC,7/13/2017
Harris,Other,FAIL TO COMPLY AS SEX OFF,7/5/2017
Bexar,Drug,POCS PG < 1G,3/30/2019
Tarrant,Other,EVADING ARREST/DET W/VEH,7/20/2018
Tarrant,Property,FRAUD USE/POSS ID INFO U/5 ITEMS,3/28/2019
Galveston,Drug,"POSS CS,TO-WIT:PHENCYCL PG1<1G",3/10/2019
Galveston,Other,DWI 3D/M,4/15/2018
Tarrant,Drug,POSS CS LT 1G NAMELY METH,4/17/2019
Montgomery,Drug,POSS CS,11/27/2019
El Paso,Property,FORGERY FINANCIAL INSTRUMENT,11/2/2018
Hood,Other,UNL POSS FIREARM FELON,3/9/2017
Bowie,Violent,ASSAULT PUBLIC SERVANT,6/23/2018
Tom Green,Property,THEFT PROPERTY L/$2500,3/24/2018
El Paso,Other,DWI 3D/M,8/7/2018
Bexar,Other,RETALIATION,6/13/2017
Bexar,Other,EVADE ARREST/DET-2ND OR,5/26/2018
Bexar,Drug,POSS CONT SUB L/1G DF,1/31/2017
Bexar,Other,FELON POSS F/ARM,3/16/2017
Bexar,Property,THEFT $2500 TO < $30K VEH,10/2/2018
Dallas,Drug,UNL POSS OF CONT SUB METH,8/4/2017
Bexar,Property,UNAUTH USE VEH,11/15/2017
Bexar,Property,FRAUD USE POSS ID INFO 10-49,5/30/2018
Bexar,Drug,POSS CS PG 1<1G,6/12/2019
Bexar,Drug,POSS WID CONT SUB 4-200G,1/25/2017
Gillespie,Other,BAIL JUMPING/FAIL TO APPEAR,4/15/2019
Bexar,Property,UUV,5/4/2019
Bowie,Other,UNL POSS FIREARM BY FELON,3/10/2019
Brazoria,Property,THEFT W/2 MORE PREV CONV,2/20/2018
Tarrant,Property,UUMV,7/6/2018
Bexar,Drug,POSS CS PG 1<1G,10/25/2017
Bexar,Drug,MAN DEL CS PG 1 >=1G<4G,2/2/2019
Wichita,Drug,POSS C/S: METH,6/29/2018
Washington,Violent,ASLT PUB SERVANT,11/25/2017
Hidalgo,Drug,MAN DEL CONT SUB 4-200G,4/20/2018
Gregg,Property,"THEFT OF PROPERTY >=$2,500<$30K",10/30/2018
Tarrant,Violent,ASLT FAM/HSE MEM W/PREV CONV,11/16/2018
Bexar,Other,FELON POSS F/ARM,9/20/2017
El Paso,Violent,ASLT FAM HSE MEM PREV,12/23/2017
Grayson,Other,DWI,12/1/2018
Kerr,Other,DRIVING WHILE INTOXICATED 3RD OR,4/26/2019
Bexar,Violent,ROBBERY,2/4/2017
Harris,Other,DWI,11/21/2018
Angelina,Drug,POSS C/S PG1 <1G,4/27/2017
Collin,Property,THEFT PROP L/$2500 W/PRIORS,6/10/2019
Freestone,Property,CRIM MISCH 2500-30K,7/22/2018
Harris,Other,DWI,2/28/2018
Harris,Other,EVADE ARREST/DET W/PREV CONV,6/16/2018
Bexar,Drug,POSS CONT SUBS PG1 L/1G,2/4/2019
Limestone,Drug,POSS CS PG 1 <1G,8/3/2019
Victoria,Other,DRIVING WHILE INTOXICATED 3RD OR,10/7/2018
Hansford,Drug,POSS CONT SUB 4-200G,3/4/2018
Bexar,Property,BURG-BUILD - INTENT THEFT,5/1/2017
Lasalle,Property,THEFT PROP 30-150K,4/1/2018
Harris,Property,"THEFT <$2,500 2/M PREV CONVS",10/17/2018
Harris,Property,UUV,5/18/2019
Bexar,Drug,POSS CONT SUB 4-200G,1/11/2017
Bowie,Drug,POSS CS,6/30/2018
Tarrant,Other,ENG ORG CRIM ACT THFT PROP,3/15/2019
Burnet,Drug,POSS CONT SUBS PG1 L/1G,7/25/2018
Bell,Drug,POSS CONT SUB L/1G,4/15/2018
Houston,Other,PROHIBITED SUB IN CORR FACILITY,2/18/2017
El Paso,Other,DWI 3RD OR MORE,1/11/2019
Harris,Other,DWI 3RD,1/4/2019
Gregg,Other,DRIVING WHILE INTOXICATED 3RD OR,11/2/2018
El Paso,Property,THEFT PROP <2500 2/MORE PREV CON,1/14/2018
Johnson,Violent,ASLT FAM VIOL W/PREV CONV ENH,3/14/2019
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR,1/26/2019
Harris,Other,FELON POSS WPN,6/26/2017
Harris,Drug,POSS WID CONT SUB 1-4G,9/15/2017
Tarrant,Drug,"POSS CS <1G,NAMELY:HEROIN",6/28/2019
